ID,Form,Lemma,Postag,NER,Head,Deprel,Clausal Tag,Record ID,Sentence ID,Document ID,Document
7,completely,completely,RB,O,8,advmod,0,911,23,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,isolated,isolate,VBN,O,0,ROOT,VP,912,23,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,.,.,.,O,8,punct,0,913,23,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,By,by,IN,O,3,case,S,914,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,a,a,DT,O,3,advmod,NP,915,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,little,little,JJ,O,11,obl:by,0,916,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,every,every,DT,SET,5,det,NP,917,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,day,day,NN,SET,3,dep,0,918,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,his,he,PRP$,O,7,nmod:poss,NP,919,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,power,power,NN,O,11,nsubj,0,920,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,and,and,CC,O,9,cc,0,921,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,prestige,prestige,NN,O,11,nsubj,0,922,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,are,be,VBP,O,11,aux,VP,923,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,crumbling,crumble,VBG,O,0,ROOT,VP,924,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,and,and,CC,O,15,cc,0,925,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,the,the,DT,O,14,det,NP,926,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,collapse,collapse,NN,O,15,nsubj,0,927,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,is,be,VBZ,O,11,conj:and,VP,928,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
16,not,not,RB,O,15,advmod,0,929,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
17,far,far,RB,O,18,advmod,0,930,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
18,away,away,RB,O,15,advmod,0,931,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
19,.,.,.,O,11,punct,0,932,24,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,We,we,PRP,O,2,nsubj,NP,933,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,shall,shall,MD,O,0,ROOT,VP,934,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,not,not,RB,O,2,advmod,0,935,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,",",",",",",O,2,punct,0,936,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,1,1,CD,NUMBER,6,nsubj,NP,937,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,believe,believe,VBP,O,2,parataxis,VP,938,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,",",",",",",O,2,punct,0,939,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,be,be,VB,O,9,aux:pass,VP,940,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,obliged,oblige,VBN,O,2,parataxis,VP,941,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,to,to,TO,O,11,mark,VP,942,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,alter,alter,VB,O,9,xcomp,VP,943,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,our,we,PRP$,O,13,nmod:poss,NP,944,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,policy,policy,NN,O,11,obj,0,945,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,of,of,IN,O,16,case,0,946,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,watchful,watchful,JJ,O,16,amod,NP,947,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
16,waiting,waiting,NN,O,13,nmod:of,0,948,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
17,.,.,.,O,2,punct,0,949,25,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,And,and,CC,O,11,cc,S,950,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,then,then,RB,O,11,advmod,0,951,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,",",",",",",O,11,punct,0,952,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,when,when,WRB,O,7,advmod,SBAR,953,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,the,the,DT,O,6,det,NP,954,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,end,end,NN,O,7,nsubj,0,955,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,comes,come,VBZ,O,11,advcl,VP,956,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,",",",",",",O,11,punct,0,957,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,we,we,PRP,O,13,nsubj:xsubj,NP,958,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,shall,shall,MD,O,11,aux,VP,959,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,hope,hope,VB,O,0,ROOT,VP,960,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,to,to,TO,O,13,mark,VP,961,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,see,see,VB,O,11,xcomp,VP,962,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,constitutional,constitutional,JJ,O,15,amod,NP,963,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,order,order,NN,O,13,obj,0,964,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
16,restored,restore,VBN,O,15,acl,VP,965,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
17,in,in,IN,O,19,case,0,966,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
18,distressed,distressed,JJ,O,19,amod,NP,967,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
19,Mexico,Mexico,NNP,COUNTRY,16,obl:in,0,968,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
20,by,by,IN,O,22,case,0,969,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
21,the,the,DT,O,22,det,NP,970,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
22,concert,concert,NN,O,16,obl:by,0,971,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
23,and,and,CC,O,24,cc,0,972,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
24,energy,energy,NN,O,22,conj:and,0,973,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
25,of,of,IN,O,26,case,0,974,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
26,such,such,JJ,O,22,nmod:of,NP,975,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
27,of,of,IN,O,29,case,0,976,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
28,her,she,PRP$,O,29,nmod:poss,NP,977,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
29,leaders,leader,NNS,O,26,nmod:of,0,978,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
30,as,as,IN,O,31,mark,SBAR,979,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
31,prefer,prefer,VBP,O,11,advcl:as,VP,980,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
32,the,the,DT,O,33,det,NP,981,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
33,liberty,liberty,NN,O,31,obj,0,982,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
34,of,of,IN,O,36,case,0,983,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
35,their,they,PRP$,O,36,nmod:poss,NP,984,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
36,people,people,NNS,O,33,nmod:of,0,985,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
37,to,to,IN,O,40,case,0,986,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
38,their,they,PRP$,O,40,nmod:poss,NP,987,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
39,own,own,JJ,O,40,amod,0,988,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
40,ambitions,ambition,NNS,O,31,obl:to,0,989,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
41,.,.,.,O,11,punct,0,990,26,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,I,I,PRP,O,2,nsubj,NP,991,27,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,turn,turn,VBP,O,0,ROOT,VP,992,27,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,to,to,IN,O,4,case,0,993,27,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,matters,matter,NNS,O,2,obl:to,NP,994,27,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,of,of,IN,O,7,case,0,995,27,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,domestic,domestic,JJ,O,7,amod,NP,996,27,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,concern,concern,NN,O,4,nmod:of,0,997,27,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,.,.,.,O,2,punct,0,998,27,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,You,you,PRP,O,3,nsubj,NP,999,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,already,already,RB,O,3,advmod,0,1000,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,have,have,VBP,O,0,ROOT,VP,1001,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,under,under,IN,O,5,case,0,1002,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,consideration,consideration,NN,O,3,obl:under,NP,1003,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,a,a,DT,O,7,det,NP,1004,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,bill,bill,NN,O,3,obj,0,1005,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,for,for,IN,O,10,case,0,1006,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,the,the,DT,O,10,det,NP,1007,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,reform,reform,NN,O,23,obl:for,0,1008,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,of,of,IN,O,13,case,0,1009,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,our,we,PRP$,O,13,nmod:poss,NP,1010,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,system,system,NN,O,10,nmod:of,0,1011,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,of,of,IN,O,15,case,0,1012,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,banking,banking,NN,O,13,nmod:of,NP,1013,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
16,and,and,CC,O,17,cc,0,1014,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
17,currency,currency,NN,O,15,conj:and,0,1015,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
18,",",",",",",O,10,punct,0,1016,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
19,for,for,IN,O,20,case,SBAR,1017,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
20,which,which,WDT,O,10,ref,0,1018,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
21,the,the,DT,O,22,det,NP,1019,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
22,country,country,NN,O,23,nsubj,0,1020,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
23,waits,wait,VBZ,O,10,acl:relcl,VP,1021,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
24,with,with,IN,O,25,case,0,1022,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
25,impatience,impatience,NN,O,23,obl:with,NP,1023,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
26,",",",",",",O,23,punct,0,1024,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
27,as,as,IN,O,29,case,0,1025,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
28,for,for,IN,O,29,case,0,1026,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
29,something,something,NN,O,23,obl:for,NP,1027,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
30,fundamental,fundamental,JJ,O,29,amod,0,1028,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
31,to,to,IN,O,35,case,0,1029,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
32,its,its,PRP$,O,35,nmod:poss,NP,1030,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
33,whole,whole,JJ,O,35,amod,0,1031,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
34,business,business,NN,O,35,compound,0,1032,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
35,life,life,NN,O,30,obl:to,0,1033,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
36,and,and,CC,O,37,cc,0,1034,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
37,necessary,necessary,JJ,O,30,conj:and,0,1035,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
38,to,to,TO,O,39,mark,VP,1036,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
39,set,set,VB,O,37,xcomp,VP,1037,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
40,credit,credit,NN,O,39,obj,NP,1038,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
41,free,free,JJ,O,39,xcomp,S,1039,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
42,from,from,IN,O,46,case,0,1040,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
43,arbitrary,arbitrary,JJ,O,46,amod,NP,1041,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
44,and,and,CC,O,45,cc,0,1042,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
45,artificial,artificial,JJ,O,46,amod,0,1043,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
46,restraints,restraint,NNS,O,41,obl:from,0,1044,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
47,.,.,.,O,3,punct,0,1045,28,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,I,I,PRP,O,2,nsubj,NP,1046,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,need,need,VBP,O,0,ROOT,VP,1047,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,not,not,RB,O,2,advmod,0,1048,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,say,say,VB,O,2,dep,VP,1049,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,how,how,WRB,O,8,advmod,SBAR,1050,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,earnestly,earnestly,RB,O,8,advmod,S,1051,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,I,I,PRP,O,8,nsubj,0,1052,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,hope,hope,VBP,O,4,ccomp,VP,1053,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,for,for,IN,O,12,case,0,1054,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,its,its,PRP$,O,12,nmod:poss,NP,1055,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,early,early,JJ,O,12,amod,0,1056,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,enactment,enactment,NN,O,8,obl:for,0,1057,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,into,into,IN,O,14,case,0,1058,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,law,law,NN,O,8,obl:into,NP,1059,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,.,.,.,O,2,punct,0,1060,29,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,I,I,PRP,O,2,nsubj,NP,1061,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,take,take,VBP,O,0,ROOT,VP,1062,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,leave,leave,VB,O,2,xcomp,VP,1063,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,to,to,TO,O,5,mark,VP,1064,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,beg,beg,VB,O,3,xcomp,VP,1065,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,that,that,IN,O,16,mark,SBAR,1066,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,the,the,DT,O,9,det,NP,1067,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,whole,whole,JJ,O,9,amod,0,1068,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,energy,energy,NN,O,16,nsubj:pass,0,1069,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,and,and,CC,O,11,cc,0,1070,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,attention,attention,NN,O,16,nsubj:pass,0,1071,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,of,of,IN,O,14,case,0,1072,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,the,the,DT,O,14,det,NP,1073,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,Senate,Senate,NNP,ORGANIZATION,9,nmod:of,0,1074,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,be,be,VB,O,16,aux:pass,VP,1075,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
16,concentrated,concentrate,VBN,O,5,ccomp,VP,1076,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
17,upon,upon,IN,O,18,case,0,1077,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
18,it,it,PRP,O,16,obl:upon,NP,1078,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
19,till,till,IN,O,24,mark,SBAR,1079,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
20,the,the,DT,O,21,det,NP,1080,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
21,matter,matter,NN,O,24,nsubj:pass,0,1081,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
22,is,be,VBZ,O,24,aux:pass,VP,1082,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
23,successfully,successfully,RB,O,24,advmod,0,1083,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
24,disposed,dispose,VBN,O,3,advcl:till,VP,1084,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
25,of,of,RP,O,24,compound:prt,0,1085,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
26,.,.,.,O,2,punct,0,1086,30,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
1,And,and,CC,O,4,cc,S,1087,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,yet,yet,RB,O,4,advmod,0,1088,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,I,I,PRP,O,4,nsubj,NP,1089,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,feel,feel,VBP,O,0,ROOT,VP,1090,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,that,that,IN,O,10,mark,SBAR,1091,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,the,the,DT,O,7,det,NP,1092,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,request,request,NN,O,10,nsubj:pass,0,1093,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,is,be,VBZ,O,10,aux:pass,VP,1094,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,not,not,RB,O,10,advmod,0,1095,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,needed,need,VBN,O,4,ccomp,VP,1096,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,-,-,",",O,10,punct,0,1097,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,that,that,IN,O,19,mark,SBAR,1098,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,the,the,DT,O,14,det,NP,1099,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,Members,member,NNS,O,19,nsubj,0,1100,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,of,of,IN,O,18,case,0,1101,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
16,that,that,DT,O,18,det,NP,1102,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
17,great,great,JJ,O,18,amod,0,1103,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
18,House,House,NNP,ORGANIZATION,14,nmod:of,0,1104,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
19,need,need,VBP,O,10,ccomp,VP,1105,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
20,no,no,DT,O,19,obj,NP,1106,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
21,urging,urge,VBG,O,20,amod,0,1107,31,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
